"","Sale_Price","Lot_Area","Age","Total_Bsmt_SF","Garage_Area","Gr_Liv_Area","Central_Air"
"131",180000,19900,40,1947,576,2207,"Y"
"132",268000,13346,14,1095,590,2295,"Y"
"133",384500,12191,10,1779,925,2551,"Y"
"134",232500,11202,5,1432,467,1440,"Y"
"135",113000,9000,40,1216,336,1216,"Y"
"136",64500,5000,61,666,0,666,"N"
"137",216837,9100,2,1860,484,1836,"Y"
"138",140000,6565,50,1073,720,1073,"Y"
"139",221300,8778,1,1302,859,1830,"Y"
"140",138000,7200,59,1208,240,1904,"Y"
"141",168000,7655,14,903,392,1642,"Y"
"142",157500,9350,42,720,480,1440,"Y"
"143",133000,4435,3,848,420,848,"Y"
"144",147000,7500,1,1143,0,1143,"Y"
"145",345000,13860,37,1952,538,2704,"Y"
"146",151000,3180,1,600,480,1200,"Y"
"147",142500,7937,22,1003,588,1003,"Y"
"148",120000,7535,49,912,297,912,"Y"
"149",178000,9100,8,1212,573,1212,"Y"
"150",135960,7032,27,943,600,943,"Y"
"151",215000,21579,39,1488,552,1488,"Y"
"152",76000,9000,81,784,360,784,"N"
"153",217500,8826,7,985,486,1842,"Y"
"154",55000,3636,86,796,0,796,"N"
"155",149000,6240,78,1042,225,1576,"Y"
"156",97000,12702,52,0,308,882,"Y"
"157",111500,7745,106,938,576,1951,"N"
"158",129500,6000,59,768,308,1328,"Y"
"159",475000,22950,114,1107,840,3608,"Y"
"160",233555,13377,0,1836,495,1846,"Y"
"161",99500,8520,86,624,287,792,"Y"
"162",127000,7180,36,864,352,864,"Y"
"163",135000,10454,52,1105,308,1105,"Y"
"164",138000,8064,60,768,576,1320,"Y"
"165",300000,19522,17,1223,564,2503,"Y"
"166",625000,35760,11,1930,807,3627,"Y"
"167",264500,8125,1,1836,517,1836,"Y"
"168",264561,3982,0,1520,648,1567,"Y"
"169",100000,10260,32,0,484,1872,"Y"
"170",96000,7550,87,951,280,1362,"N"
"171",119000,7200,57,876,276,988,"Y"
"172",118000,9000,52,936,286,1128,"Y"
"173",180000,3182,4,1220,397,1220,"Y"
"174",183500,12150,28,1001,486,1299,"Y"
"175",159500,10800,117,718,704,2554,"Y"
"176",153900,7892,15,1199,530,1199,"Y"
"177",161000,10320,92,1138,720,2180,"Y"
"178",170000,13041,11,781,423,1671,"Y"
"179",149900,17755,47,1466,528,1466,"Y"
"180",87000,5000,66,720,360,803,"N"
"181",382500,15262,6,2200,685,2200,"Y"
"182",237000,11645,4,1498,844,1498,"Y"
"183",155000,2448,5,764,474,1626,"Y"
"184",234000,10918,83,1276,282,2080,"Y"
"185",250000,3811,4,1594,482,1646,"Y"
"186",168000,32463,46,1249,1356,1622,"Y"
"187",130000,9600,88,973,393,2350,"Y"
"188",139000,10800,95,686,416,1652,"Y"
"189",147000,2308,35,855,440,1322,"Y"
"190",205000,13600,44,768,486,1986,"Y"
"191",260000,11645,1,1734,660,1734,"Y"
"192",124000,5000,67,672,240,1210,"Y"
"193",210000,9928,16,1454,506,1478,"Y"
"194",101800,9842,45,0,462,1224,"Y"
"195",148000,15312,49,1138,480,1138,"Y"
"196",294464,3843,1,1596,525,1648,"Y"
"197",275000,15676,29,2014,864,2014,"Y"
"198",125000,7440,55,1089,252,1089,"Y"
"199",107500,7000,98,1117,0,1347,"Y"
"200",102000,6000,80,1008,0,1522,"Y"
"201",82375,10320,93,536,0,1344,"N"
"202",162000,9830,51,1063,576,1287,"Y"
"203",221000,7180,5,1568,564,1568,"Y"
"204",176400,3628,2,1143,588,1143,"Y"
"205",149500,12160,56,1505,505,1505,"Y"
"206",178000,7837,16,799,380,1571,"Y"
"207",125200,6305,35,1008,352,1096,"Y"
"208",143000,4426,6,848,420,848,"Y"
"209",119500,8600,69,780,198,1376,"Y"
"210",329900,11643,1,1524,784,2358,"Y"
"211",187500,13758,17,1156,400,1717,"Y"
"212",175000,9900,42,1680,550,1691,"Y"
"213",112000,5175,49,808,308,808,"Y"
"214",159000,7700,25,1216,616,2432,"Y"
"215",84500,17217,0,1140,0,1140,"Y"
"216",184900,10083,6,1176,555,1200,"Y"
"217",131900,7689,37,796,336,796,"Y"
"218",137500,14375,51,819,525,1344,"Y"
"219",419005,12291,0,1966,1092,1966,"Y"
"220",345474,14333,0,2108,938,2122,"Y"
"221",189000,9842,87,612,621,2601,"Y"
"222",157000,5500,2,1073,246,1073,"Y"
"223",130250,9200,33,938,308,938,"Y"
"224",195000,3940,5,1415,644,1455,"Y"
"225",145000,6270,58,1001,871,2002,"N"
"226",85500,1504,35,546,253,1092,"Y"
"227",395000,14226,1,1935,895,1973,"Y"
"228",87500,8544,57,0,400,1040,"N"
"229",134000,2522,2,970,380,1709,"Y"
"230",134500,9360,46,621,280,1269,"Y"
"231",171000,9600,39,715,441,1645,"Y"
"232",113000,8480,64,793,240,793,"Y"
"233",154000,2448,5,764,474,1626,"Y"
"234",166800,13200,50,1395,441,1570,"Y"
"235",142500,3675,1,547,525,1072,"Y"
"236",160000,10800,106,954,520,2414,"N"
"237",325624,10562,0,1582,789,2161,"Y"
"238",188000,9627,13,996,650,2000,"Y"
"239",210000,8750,12,1417,511,1417,"Y"
"240",123000,5775,94,483,379,1427,"Y"
"241",140000,7315,49,1170,338,1170,"Y"
"242",196000,9819,32,1567,714,1567,"Y"
"243",137000,13526,41,935,288,935,"Y"
"244",91300,5784,71,190,273,886,"Y"
"245",108000,13907,68,996,0,996,"Y"
"246",227000,14670,42,1104,480,1988,"Y"
"247",168500,8530,14,384,400,1474,"Y"
"248",248500,9345,1,1615,864,1615,"Y"
"249",192500,14006,4,936,474,1776,"Y"
"250",220000,7500,9,1058,588,1874,"Y"
"251",146000,3604,1,689,540,1392,"Y"
"252",302000,115149,36,1643,739,1824,"Y"
"253",137000,9639,107,1075,342,1798,"Y"
"254",119916,6360,45,864,276,864,"Y"
"255",153500,13108,56,0,400,1226,"Y"
"256",200000,3242,4,1405,478,1405,"Y"
"257",167300,10667,36,1587,525,1587,"Y"
"258",245000,20270,29,1524,478,1524,"Y"
"259",140000,6221,66,728,528,1355,"Y"
"260",136500,4435,5,848,420,848,"Y"
"261",37900,5925,99,600,0,968,"N"
"262",86900,5400,68,672,308,672,"Y"
"263",187750,7200,0,1293,572,1301,"Y"
"264",85500,5900,83,440,0,869,"Y"
"265",191000,9316,2,879,578,1795,"Y"
"266",204750,9337,10,824,684,1786,"Y"
"267",83000,8248,84,864,0,1414,"N"
"268",99800,10410,76,713,371,713,"Y"
"269",385000,50271,25,1842,894,1842,"Y"
"270",137000,10890,68,1058,240,1551,"Y"
"271",123500,6120,85,1100,576,1902,"Y"
"272",179900,11700,38,708,776,1416,"Y"
"273",60000,9571,51,1276,350,1276,"Y"
"274",75000,6120,76,728,258,1162,"Y"
"275",180000,8049,16,1309,484,1339,"Y"
"276",115000,5520,88,565,355,1216,"Y"
"277",131000,26400,129,0,576,2016,"Y"
"278",116000,11556,56,720,240,882,"Y"
"279",98000,4571,92,624,513,1344,"N"
"280",162000,7750,4,660,400,1320,"Y"
"281",100000,9839,79,894,0,1666,"Y"
"282",139000,7350,57,952,840,952,"Y"
"283",215000,16196,9,1482,514,1494,"Y"
"284",342000,13069,3,1706,916,2956,"Y"
"285",335000,17500,51,1902,567,1902,"Y"
"286",123000,7200,37,894,600,894,"Y"
"287",110000,11475,51,1584,888,1776,"Y"
"288",214000,4379,3,1378,540,1378,"Y"
"289",171000,9247,46,858,490,1716,"Y"
"290",114500,6240,72,816,528,1176,"Y"
"291",102000,8877,55,836,396,1220,"Y"
"292",417500,13693,1,2418,650,2464,"Y"
"293",67500,9800,90,816,429,1012,"N"
"294",261500,11885,8,1299,531,1872,"Y"
"295",165600,7685,13,697,420,1501,"Y"
"296",272000,12227,31,1330,619,2872,"Y"
"297",143000,8012,30,923,264,923,"Y"
"298",257000,9801,1,1341,851,1861,"Y"
"299",215000,3196,3,1273,400,1456,"Y"
"300",89000,1680,34,483,264,948,"Y"
"301",179600,8500,3,1422,626,1422,"Y"
"302",202500,11737,82,848,240,1827,"N"
"303",130000,9764,41,894,450,894,"Y"
"304",139000,7560,51,1029,294,1339,"Y"
"305",140000,8400,66,940,240,1595,"Y"
"306",91500,7585,58,810,280,1456,"Y"
"307",300000,9545,6,1160,768,2234,"Y"
"308",173000,10457,40,784,898,1632,"Y"
"309",102000,7200,57,864,357,1238,"Y"
"310",173000,10852,6,959,472,1671,"Y"
"311",156932,8499,1,616,432,1412,"Y"
"312",208900,13125,11,1478,508,1493,"Y"
"313",141000,6876,70,1272,400,1969,"Y"
"314",114000,11200,46,1250,504,1298,"Y"
"315",211000,15295,11,860,608,1992,"Y"
"316",115000,8665,39,876,264,897,"Y"
"317",159000,9500,46,1394,514,1394,"Y"
"318",214000,10264,7,1588,472,1588,"Y"
"319",584500,17242,13,1733,959,3500,"Y"
"320",286500,16770,7,1712,701,1712,"Y"
"321",51689,12366,61,0,0,729,"N"
"322",105500,1680,39,525,320,1092,"Y"
"323",64500,10800,80,656,216,968,"Y"
"324",170000,9260,1,1162,483,1162,"Y"
"325",124000,9000,126,636,240,1750,"Y"
"326",260000,4835,6,1488,506,1488,"Y"
"327",538000,53504,7,1650,841,3279,"Y"
"328",130000,5500,81,926,484,1316,"Y"
"329",215700,13142,11,864,600,1771,"Y"
"330",110000,6120,76,741,180,1324,"Y"
"331",310000,11003,1,1017,812,2007,"Y"
"332",274000,9720,7,1357,725,1947,"Y"
"333",163500,13360,88,876,432,964,"Y"
"334",113000,21750,54,988,520,988,"Y"
"335",159900,12900,98,780,0,1560,"Y"
"336",234000,3196,3,1374,420,1557,"Y"
"337",183200,7861,4,783,393,1509,"Y"
"338",179200,7153,17,1278,496,1294,"Y"
"339",97500,7200,35,864,576,874,"Y"
"340",200500,8750,12,804,523,1682,"Y"
"341",168000,7848,10,384,410,1430,"Y"
"342",137500,8243,46,964,784,964,"Y"
"343",235876,9965,0,1528,480,1528,"Y"
"344",123500,6420,54,980,308,1148,"Y"
"345",145000,9144,68,883,240,1505,"Y"
"346",141000,7500,4,1080,0,1080,"Y"
"347",131500,12150,54,1050,352,1795,"N"
"348",189000,7500,11,994,442,1804,"Y"
"349",80400,4800,110,709,240,1844,"Y"
"350",350000,10019,11,1342,725,2726,"Y"
"351",165000,9150,46,1099,296,1431,"Y"
"352",204000,7321,8,1339,625,1358,"Y"
"353",215000,7020,9,1288,784,1368,"Y"
"354",206000,3880,32,1226,484,1226,"Y"
"355",191500,5005,18,1280,506,1280,"Y"
"356",256000,14695,43,1562,542,1567,"Y"
"357",161750,10900,33,689,299,1392,"Y"
"358",146300,4043,31,1069,440,1069,"Y"
"359",185900,8390,9,831,450,1651,"Y"
"360",457347,16023,1,1398,670,2798,"Y"
"361",137500,12395,24,864,484,889,"Y"
"362",126000,8668,39,1560,792,1560,"Y"
"363",157500,10440,104,650,686,1539,"Y"
"364",185000,9649,8,941,460,1644,"Y"
"365",144000,8850,90,815,225,1690,"Y"
"366",188500,16219,3,835,437,1119,"Y"
"367",166000,11900,51,1392,458,1392,"Y"
"368",190000,9671,40,1248,907,2544,"Y"
"369",176500,11029,50,1184,601,1414,"Y"
"370",189000,14565,14,832,483,1657,"Y"
"371",213000,6904,4,1358,484,1358,"Y"
"372",150500,8800,32,1040,484,1040,"Y"
"373",103200,5500,51,882,0,882,"Y"
"374",128500,6490,25,816,264,816,"Y"
"375",294900,11645,1,1570,754,1590,"Y"
"376",115000,10434,54,1005,672,1005,"Y"
"377",460000,12539,3,1620,1150,2790,"Y"
"378",157000,10920,48,1253,352,1253,"Y"
"379",125000,7200,33,1041,352,1125,"Y"
"380",152000,10793,38,780,462,1620,"Y"
"381",124000,7450,51,894,396,1074,"Y"
"382",138000,7111,80,1008,288,1143,"Y"
"383",90500,1936,36,546,0,1092,"Y"
"384",141000,9000,70,780,544,1375,"Y"
"385",377426,14157,2,1922,676,1922,"Y"
"386",113000,9340,68,672,234,672,"Y"
"387",99600,9350,33,864,0,864,"N"
"388",170000,10010,32,1389,418,1389,"Y"
"389",176000,9900,40,832,486,1978,"Y"
"390",64000,11792,62,744,480,1120,"N"
"391",186000,10420,1,1212,460,1212,"Y"
"392",149000,11241,40,1004,480,1004,"Y"
"393",119900,7800,67,793,410,1118,"Y"
"394",130000,3869,23,1038,264,1038,"Y"
"395",115500,8516,50,869,308,1093,"Y"
"396",194201,3922,1,1258,648,1402,"Y"
"397",112000,25339,89,816,576,1416,"Y"
"398",280000,14154,1,1063,947,2172,"Y"
"399",187500,14115,29,1372,588,1472,"Y"
"400",145000,7175,19,1332,542,1332,"Y"
"401",155000,41600,38,1100,828,1424,"Y"
"402",150900,12640,30,1728,574,1728,"Y"
"403",220000,9317,13,779,499,1958,"Y"
"404",183900,3735,7,691,506,1452,"Y"
"405",136000,9000,35,896,0,1792,"Y"
"406",108000,10200,68,672,240,672,"Y"
"407",200000,11643,40,1248,968,2634,"Y"
"408",179900,9350,43,1219,502,1265,"Y"
"409",190000,9620,33,1243,473,1285,"Y"
"410",150909,9060,84,859,0,1828,"Y"
"411",231500,12435,7,963,564,1792,"Y"
"412",155000,10452,55,1094,495,1094,"Y"
"413",125000,9280,56,1342,256,1342,"Y"
"414",287500,10010,15,1080,783,2197,"Y"
"415",269500,12003,1,774,680,1968,"Y"
"416",190000,18890,30,1361,600,2620,"Y"
"417",155000,9457,37,925,576,1422,"Y"
"418",128950,9320,51,950,0,1225,"Y"
"419",80900,5150,98,356,195,1049,"N"
"420",144000,9240,44,864,576,1211,"Y"
"421",161500,9790,42,1372,457,1342,"Y"
"422",78000,8520,90,216,0,936,"N"
"423",105000,6000,69,739,240,1342,"Y"
"424",235500,10820,8,988,597,1873,"Y"
"425",90000,7200,76,984,308,984,"Y"
"426",132000,7800,56,1268,244,1268,"Y"
"427",555000,15431,1,3094,672,2402,"Y"
"428",123000,11677,41,1040,264,1040,"Y"
"429",140000,4435,6,848,420,848,"Y"
"430",154000,10143,46,1380,364,1380,"Y"
"431",143900,13673,45,1140,349,1696,"Y"
"432",319900,7658,5,1752,576,1752,"Y"
"433",148000,3675,3,547,525,1072,"Y"
"434",209500,7793,88,1108,315,2068,"N"
"435",82000,8154,69,480,200,540,"Y"
"436",75200,3672,85,816,100,816,"Y"
"437",140750,10560,88,738,624,1470,"Y"
"438",167000,9045,2,768,400,1536,"Y"
"439",195000,12046,31,848,551,2030,"Y"
"440",269500,7939,9,1168,820,2787,"Y"
"441",217000,11750,2,1546,796,1546,"Y"
"442",149900,8385,31,985,328,985,"Y"
"443",161000,9600,80,689,360,1378,"Y"
"444",152400,8375,67,576,627,1350,"Y"
"445",65000,9000,88,592,216,864,"Y"
"446",146000,7000,45,1150,288,1150,"Y"
"447",178750,7875,11,691,420,1553,"Y"
"448",215000,12209,8,804,560,1961,"Y"
"449",207500,8998,8,782,532,1652,"Y"
"450",129000,9900,99,504,0,1464,"Y"
"451",227000,10000,1,1588,825,1588,"Y"
"452",165500,9600,53,992,377,1661,"Y"
"453",97500,5852,107,1020,0,1864,"N"
"454",187500,8702,11,926,470,1604,"Y"
"455",224900,8158,5,884,543,1768,"Y"
"456",206000,6762,4,1187,632,1208,"Y"
"457",131000,8128,55,1062,297,1062,"Y"
"458",137900,10680,55,2136,528,2136,"N"
"459",145000,7136,61,979,492,1958,"N"
"460",150000,6240,69,989,400,2009,"Y"
"461",188000,7810,77,930,231,1755,"Y"
"462",147900,16561,11,1097,242,1097,"Y"
"463",137000,3612,13,630,484,1320,"Y"
"464",140000,12155,83,672,400,1482,"N"
"465",125000,8250,71,0,260,1032,"N"
"466",284000,10655,6,3206,880,1629,"Y"
"467",190000,3515,6,840,588,1680,"Y"
"468",184000,11088,31,1140,479,1707,"Y"
"469",89500,7920,88,319,0,1406,"Y"
"470",187500,9590,4,868,438,1146,"Y"
"471",128900,9600,53,1050,338,1050,"Y"
"472",386250,13472,6,2392,968,2392,"Y"
"473",308030,17485,1,1508,572,1508,"Y"
"474",125000,9600,82,702,250,1472,"Y"
"475",118000,1680,37,483,264,987,"Y"
"476",281213,12665,2,1094,642,2482,"Y"
"477",284700,47007,49,0,624,3820,"Y"
"478",240000,10905,5,1129,596,2327,"Y"
"479",136500,10778,42,1768,0,1768,"N"
"480",137500,12375,55,806,288,1422,"Y"
"481",125000,7175,26,744,264,752,"Y"
"482",138000,9650,85,784,599,1603,"Y"
"483",134000,4224,31,1142,528,1142,"Y"
"484",150000,9991,33,1281,490,1620,"Y"
"485",171000,16647,32,1390,611,1701,"Y"
"486",462000,14257,2,1776,754,2772,"Y"
"487",214000,8755,10,992,390,2060,"Y"
"488",149000,6615,86,1022,216,1432,"N"
"489",132500,8480,44,970,624,970,"Y"
"490",330000,9763,9,1502,286,1502,"Y"
"491",144152,3180,1,600,480,1200,"Y"
"492",213000,9750,9,1630,451,1630,"Y"
"493",202500,6955,1,1368,474,1368,"Y"
"494",412500,13688,5,1572,726,2668,"Y"
"495",122000,8212,68,720,256,1298,"Y"
"496",227000,9808,7,1573,544,1573,"Y"
"497",290000,13262,6,1082,730,2400,"Y"
"498",114000,7506,83,747,288,1159,"Y"
"499",161000,5100,83,588,228,1666,"Y"
"500",143450,11700,39,912,412,1152,"Y"
"501",145400,7000,80,861,506,1285,"Y"
"502",109500,6120,87,1124,288,1068,"Y"
"503",199500,18494,5,1324,430,1324,"Y"
"504",180000,14250,51,998,540,1790,"Y"
"505",104900,9738,82,784,392,1221,"Y"
"506",222000,9930,4,826,591,1762,"Y"
"507",241600,15417,28,1740,540,1740,"Y"
"508",552000,14836,5,2492,949,2492,"Y"
"509",334000,8118,1,1710,557,1710,"Y"
"510",183600,7488,1,1208,632,1208,"Y"
"511",271000,13265,6,1568,857,1689,"Y"
"512",85400,1680,37,483,264,987,"Y"
"513",163000,10197,47,1362,504,1362,"Y"
"514",122000,16287,82,901,576,1351,"Y"
"515",301000,10380,21,1502,576,2730,"Y"
"516",130000,16300,30,876,308,907,"Y"
"517",104500,8626,51,0,331,968,"Y"
"518",167000,10004,45,1516,472,1516,"Y"
"519",133500,6285,31,960,528,1044,"Y"
"520",212000,10667,13,799,550,1661,"Y"
"521",128500,12358,66,720,660,1382,"Y"
"522",336000,12203,11,1225,676,2612,"Y"
"523",135000,10800,57,720,0,1192,"N"
"524",175000,12243,36,1484,487,1484,"Y"
"525",196500,7162,3,796,616,1724,"Y"
"526",254900,12552,6,991,678,1947,"Y"
"527",255000,8640,0,896,590,1792,"Y"
"528",152000,9672,26,1040,480,1097,"Y"
"529",132500,10780,30,911,576,954,"Y"
"530",120000,11767,59,1078,195,1368,"Y"
"531",263000,11762,15,1105,517,2202,"Y"
"532",105000,17529,82,872,322,872,"N"
"533",155500,7200,91,663,528,1595,"Y"
"534",110000,7340,36,858,684,858,"Y"
"535",61500,6882,52,0,0,1152,"N"
"536",193500,13000,41,896,509,2142,"Y"
"537",336860,10110,0,1858,870,1866,"Y"
"538",125000,11340,83,1200,312,1200,"Y"
"539",252000,12447,1,1100,760,1964,"Y"
"540",182000,4740,19,1166,480,1179,"Y"
"541",152000,12464,13,1040,576,1040,"Y"
"542",258000,12090,8,1141,420,2263,"Y"
"543",127500,9100,50,864,300,864,"Y"
"544",75500,1491,38,630,0,630,"Y"
"545",103500,11767,53,1150,313,1560,"Y"
"546",201000,8462,13,928,471,1721,"Y"
"547",160000,7200,43,0,0,2650,"Y"
"548",60000,6120,73,264,0,800,"N"
"549",221800,10324,1,1254,810,1254,"Y"
"550",180000,11200,21,1298,403,1298,"Y"
"551",207500,16321,49,1484,319,1600,"Y"
"552",109900,4800,91,1196,440,1196,"Y"
"553",127000,7006,83,768,384,1236,"Y"
"554",112000,6191,65,824,240,1288,"N"
"555",263550,11692,16,1173,623,2232,"Y"
"556",185000,10400,28,738,489,2044,"Y"
"557",190000,10708,54,1617,303,1867,"Y"
"558",185850,7052,1,1364,484,1364,"Y"
"559",134900,6950,30,914,444,914,"Y"
"560",250000,11500,70,1017,180,2057,"Y"
"561",176000,7750,6,707,403,1414,"Y"
"562",445000,15274,6,2452,886,2452,"Y"
"563",196000,9272,7,842,515,1749,"Y"
"564",157900,26142,48,1188,312,1188,"Y"
"565",157000,8235,29,1949,586,1949,"Y"
"566",250000,13128,1,1074,527,2064,"Y"
"567",55000,5600,80,0,0,1092,"N"
"568",296000,16870,5,1782,932,1782,"Y"
"569",118000,8125,50,864,308,864,"Y"
"570",119500,8927,29,0,528,1654,"Y"
"571",235000,8470,7,972,565,1811,"Y"
"572",145000,10265,41,992,294,992,"Y"
"573",133000,6120,74,884,240,1573,"Y"
"574",275500,10240,1,1030,878,2098,"Y"
"575",187000,9600,31,528,512,1855,"Y"
"576",238500,7500,3,1372,692,1448,"Y"
"577",256900,10400,42,932,515,2640,"Y"
"578",155000,8816,39,1010,440,1052,"Y"
"579",326000,16033,2,1833,772,1850,"Y"
"580",133000,7500,47,1040,308,1040,"Y"
"581",191000,9382,9,1468,577,1479,"Y"
"582",139900,12342,47,978,286,1422,"Y"
"583",129900,7100,49,816,308,816,"Y"
"584",294323,9512,1,960,541,2318,"Y"
"585",173000,3480,6,1405,478,1405,"Y"
"586",132500,7931,50,1148,672,1148,"Y"
"587",239000,5306,19,1064,504,1767,"Y"
"588",271900,14684,19,2158,701,2196,"Y"
"589",84500,1936,37,630,0,630,"Y"
"590",165000,15400,48,552,384,1774,"Y"
"591",118500,6204,94,795,440,2230,"N"
"592",207000,13053,85,833,370,1848,"Y"
"593",259500,7259,62,1028,180,2320,"Y"
"594",55000,11340,88,723,400,1086,"N"
"595",196500,11645,2,860,565,1720,"Y"
"596",260116,16659,0,1582,728,2152,"Y"
